"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"503","B. Klemen?i?","Dosqaly","DF","Ultimate Dolphins",23,"C","2020",4.01406666666667
"807","V. Nazziwa","Nganion","DF","Festive Governors",30,"E","2020",4.03903333333334
"1916","I. Hsieh","Nganion","DFMF","Festive Governors",28,"E","2021",4.2448
"810","I. Hsieh","Nganion","DFMF","Festive Governors",27,"E","2020",4.26866666666667
"1107","A. Haruna","Dosqaly","DF","Horrible Grizzlies",25,"A","2021",4.2931
"578","L. Yulianti","Sobianitedrucy","DF","Fighting Wave",32,"D","2020",4.46353333333333
"85","V. Garcia","Byasier Pujan","DF","Old Mustangs",28,"A","2020",4.55176666666666
"1418","M. Begu","Dosqaly","DF","Weak Blimps",19,"B","2021",4.5566
"970","I. Manuel","Biarizea","DF","Ultimate Penguins",30,"E","2020",4.59553333333333
"1545","R. Sanz","Greri Landmoslands","DF","Serious Cyclones",26,"C","2021",4.6171
"2130","M. As","People's Land of Maneau","DF","Marvelous Coyotes",26,"RFL","2021",4.6195
"1238","Z. Musenero","Greri Landmoslands","MFDF","Flawless Cows",28,"B","2021",4.64616666666667
"392","A. Grgi?","Unicorporated Tiagascar","DF","Blue Jaguars",29,"C","2020",4.67076666666666
"1071","D. Ikeda","People's Land of Maneau","DF","Fighting Cougars",28,"A","2021",4.67433333333333
"506","V. Inoue","Giumle Lizeibon","DF","Ultimate Dolphins",27,"C","2020",4.69453333333333
"1995","Z. Hribar","Nganion","DF","Plane Janes",23,"E","2021",4.7885
"1424","P. Tumwine","Lefghau","DF","Weak Blimps",36,"B","2021",4.85656666666667
"1298","F. bin Ishak","Dosqaly","DF","Overconfident Kangaroos",32,"B","2021",4.86956666666667
"1301","S. Aisyah","Dosqaly","DF","Overconfident Kangaroos",23,"B","2021",5.08126666666667
"351","O. Naderi","Badad","DF","Weak Blimps",26,"B","2020",5.09736666666667
"1030","J. De Luca","Dosqaly","DF","Marvelous Coyotes",25,"RFL","2020",5.1416
"1149","H. Twongirwe","People's Land of Maneau","MFDF","Old Mustangs",30,"A","2021",5.1534
"2098","C. Tukamushaba","Rarita","DF","Black Coyotes",25,"RFL","2021",5.19406666666667
"1038","O. Atim","People's Land of Maneau","DF","Marvelous Coyotes",29,"RFL","2020",5.21986666666667
"1106","Q. Sarfo","Xikong","DF","Green Fleet",26,"A","2021",5.2829
"1385","D. Byogero","Lefghau","DF","Unaccountable Foxes",33,"B","2021",5.29746666666666
"806","A. Nilsen","Nganion","DF","Festive Governors",32,"E","2020",5.35586666666666
"1495","A. Dickson","Esia","DF","Little Lollipops",26,"C","2021",5.3621
"1696","L. Yulianti","Sobianitedrucy","DF","Fighting Wave",33,"D","2021",5.37616666666667
"1908","J. Ayebare","Dosqaly","DF","Festive Governors",26,"E","2021",5.39696666666666
"625","C. Obi","Sobianitedrucy","DF","Marvelous Patriots",27,"D","2020",5.43386666666667
"1109","O. Khainza","Lefghau","DF","Horrible Grizzlies",35,"A","2021",5.52076666666667
"508","Z. Nassolo","Rarita","DF","Ultimate Dolphins",30,"C","2020",5.52876666666667
"1918","H. Gaillard","Byasier Pujan","MFDF","Festive Governors",23,"E","2021",5.5972
"1036","J. Wulandari","Nganion","DF","Marvelous Coyotes",25,"RFL","2020",5.68566666666667
"418","A. Dickson","Esia","DF","Little Lollipops",25,"C","2020",5.7382
"1851","I. Gumede","Byasier Pujan","DF","Sugar Bengals",28,"D","2021",5.76086666666667
"1911","A. Nilsen","Nganion","DF","Festive Governors",33,"E","2021",5.81126666666667
"1032","B. Abdi","Imaar Vircoand","DF","Marvelous Coyotes",31,"RFL","2020",5.85803333333333
"2124","C. Carvalho","Byasier Pujan","DF","Marvelous Coyotes",25,"RFL","2021",5.86163333333333
"1966","A. Richard","Nganion","DF","Mad Kingsmen",34,"E","2021",5.8766
"2039","J. Abdel","Lefghau","DF","Running Bigfoots",27,"E","2021",5.89533333333334
"1912","V. Nazziwa","Nganion","DF","Festive Governors",31,"E","2021",5.92176666666666
"1373","M. Kamya","Dosqaly","DF","Swift Rustlers",22,"B","2021",5.92443333333333
"575","L. Achen","Lefghau","DF","Fighting Wave",28,"D","2020",5.93066666666667
"753","Z. Wu","Ledian","DF","Sugar Bengals",24,"D","2020",5.95703333333333
"1104","U. Wright","People's Land of Maneau","DF","Green Fleet",27,"A","2021",5.9619
"576","Z. Krajnc","Lefghau","DF","Fighting Wave",28,"D","2020",5.962
"1174","R. Navarro","Highhlaands","DF","Solemn Cougars",32,"A","2021",5.98873333333333
"1236","F. Yunusa","Rarita","DF","Flawless Cows",26,"B","2021",6.0816
"460","R. Sanz","Greri Landmoslands","DF","Serious Cyclones",25,"C","2020",6.08163333333333
"1668","F. Rácz","Greri Landmoslands","DF","Coy Sunbirds",38,"D","2021",6.13323333333333
"568","X. Williams","Moaithe","DF","Fighting Clippers",25,"D","2020",6.1514
"1382","F. Kavalio?","Central Diasongo","DF","Unaccountable Foxes",19,"B","2021",6.1993
"1142","E. Ruzvidzo","People's Land of Maneau","DF","Old Mustangs",19,"A","2021",6.20263333333333
"1692","W. Joao","Byasier Pujan","DF","Fighting Wave",20,"D","2021",6.2158
"2037","B. Luki?","Dosqaly","DF","Running Bigfoots",21,"E","2021",6.23976666666666
"2102","T. Larsson","Rarita","DF","Black Coyotes",20,"RFL","2021",6.2443
"2131","O. Atim","People's Land of Maneau","DF","Marvelous Coyotes",30,"RFL","2021",6.2546
"1232","Q. Coppola","Dosqaly","DF","Flawless Cows",24,"B","2021",6.26216666666667
"1489","Y. Takeuchi","Giumle Lizeibon","DF","Horrible Flames",29,"C","2021",6.26603333333333
"1798","C. Mirkovi?","People's Land of Maneau","DF","Remarkable Flames",30,"D","2021",6.27946666666667
"1035","E. Naik","Nganion","DF","Marvelous Coyotes",18,"RFL","2020",6.31536666666667
"505","L. Mitchell","Esia","DF","Ultimate Dolphins",23,"C","2020",6.31733333333333
"1371","D. Tweheyo","Dosqaly","DF","Swift Rustlers",19,"B","2021",6.31923333333333
"178","J. Kawano","Esia","DF","Flawless Cows",22,"B","2020",6.32333333333333
"1864","U. Mansour","Lefghau","DF","Wet Flames",23,"D","2021",6.3281
"1180","M. Happy","Varijitri Isles","DF","Solemn Cougars",24,"A","2021",6.3354
"1962","O. Seah","Dosqaly","DF","Mad Kingsmen",25,"E","2021",6.36183333333333
"1108","D. Svensson","Esia","DF","Horrible Grizzlies",27,"A","2021",6.3742
"326","H. Nyombi","Southern Ristan","DF","Unaccountable Foxes",24,"B","2020",6.39723333333333
"1794","G. De Groot","Lefghau","DF","Remarkable Flames",30,"D","2021",6.42073333333333
"1755","Z. Longole","Lefghau","DF","Marvelous Patriots",24,"D","2021",6.43836666666667
"390","Q. Ogwang","Redohrainbri","DF","Blue Jaguars",29,"C","2020",6.45226666666667
"1487","K. Nyakudya","Esia","DF","Horrible Flames",24,"C","2021",6.4643
"974","L. Olsson","Nganion","DF","Ultimate Penguins",32,"E","2020",6.4926
"571","I. Gashi","Rosvi","DF","Fighting Clippers",27,"D","2020",6.5047
"914","I. Carpentier","Rosvi","MFDF","Running Bigfoots",27,"E","2020",6.52526666666666
"848","O. Seah","Dosqaly","DF","Mad Kingsmen",24,"E","2020",6.52716666666667
"1296","W. Muchenje","Biarizea","DF","Overconfident Kangaroos",24,"B","2021",6.53353333333333
"1688","H. Zare","Rarita","DF","Fighting Clippers",29,"D","2021",6.537
"324","E. Nakayiza","Mico","DF","Unaccountable Foxes",23,"B","2020",6.54386666666667
"2123","H. Sinaga","Bernepamar","DF","Marvelous Coyotes",23,"RFL","2021",6.5508
"1200","D. Nishimura","People's Land of Maneau","DF","Stacked Rocks",26,"A","2021",6.55323333333333
"570","H. Zare","Rarita","DF","Fighting Clippers",28,"D","2020",6.55553333333333
"1229","Y. Nassuuna","Coastpa Barleslands","DF","Flawless Cows",24,"B","2021",6.56106666666666
"907","B. Luki?","Dosqaly","DF","Running Bigfoots",20,"E","2020",6.5615
"2041","C. Navarro","Nganion","DF","Running Bigfoots",34,"E","2021",6.56516666666666
"913","X. Nabukalu","Nganion","DF","Running Bigfoots",27,"E","2020",6.56596666666666
"354","U. Shahar","Dosqaly","DF","Weak Blimps",20,"B","2020",6.5863
"1247","W. Santoro","Coastpa Barleslands","DF","Golden Rustlers",27,"B","2021",6.5878
"1600","V. Inoue","Giumle Lizeibon","DFMF","Ultimate Dolphins",28,"C","2021",6.59503333333333
"459","U. Selima","Esia","DF","Serious Cyclones",26,"C","2020",6.61563333333333
"379","Q. Busobozi","Varijitri Isles","DF","Awkward Trailblazers",30,"C","2020",6.63853333333333
"808","Z. Acidri","Nganion","DF","Festive Governors",22,"E","2020",6.66923333333333
"1375","O. Bošnjak","Northern Namemo Laand","DF","Swift Rustlers",26,"B","2021",6.6707
"1138","V. Garcia","Byasier Pujan","DF","Old Mustangs",29,"A","2021",6.68333333333333
