"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"1034","I. Nyamande","Republic of Denand Landsa","FW","Solemn Cougars",23,"A","2021",5.27263333333333
"968","T. Ichikawa","People's Land of Maneau","FW","Green Fleet",22,"A","2021",5.29743333333333
"1336","W. Ainomugisha","Thaijagypt","FWMF","Horrible Flames",22,"C","2021",5.31696666666666
"860","W. Martinez","Rarita","FW","Black Coyotes",20,"RFL","2020",5.5807
"1248","C. Abaho","Pierrema","FW","Unethical Comets",28,"B","2021",5.80436666666667
"1066","E. Saka","Rosvi","FW","Weak Tornadoes",25,"A","2021",5.851
"525","F. Nyakaisiki","Nkasland Cronestan","FW","Fighting Clippers",25,"D","2020",5.90536666666667
"588","P. Rabiu","Sobianitedrucy","FWMF","Mighty Monkeys",26,"D","2020",6.0087
"722","C. Neri","Nganion","FW","Mad Kingsmen",23,"E","2020",6.01079999999999
"585","J. Nath","Sobianitedrucy","FW","Mighty Monkeys",27,"D","2020",6.01876666666667
"1314","Z. Davies","Manlisgamncent","FWMF","Blue Jaguars",29,"C","2021",6.09373333333334
"1871","T. Aguti","People's Land of Maneau","FW","Marvelous Coyotes",25,"RFL","2021",6.17856666666666
"1147","F. Chiumia","Dosqaly","FW","Overconfident Kangaroos",24,"B","2021",6.20323333333333
"1874","K. Mukwaya","Nganion","FWMF","Marvelous Coyotes",20,"RFL","2021",6.2346
"77","Y. Wood","Frenchdo Stanser","FW","Old Mustangs",27,"A","2020",6.23853333333334
"984","H. Nsamba","Byasier Pujan","FW","Horrible Storm",25,"A","2021",6.36386666666666
"747","F. Got?","Central Namemo Laand","FW","Plane Janes",26,"E","2020",6.39106666666667
"1273","K. binti Ali","Dosqaly","FWMF","Weak Blimps",20,"B","2021",6.44206666666667
"1446","Y. Nartey","Esia","FWMF","Ultimate Dolphins",25,"C","2021",6.45443333333333
"661","F. Akwero","Sobianitedrucy","FWMF","Sugar Bengals",25,"D","2020",6.45446666666667
"969","Z. Nabaweesi","People's Land of Maneau","FW","Green Fleet",18,"A","2021",6.49063333333333
"105","X. Joly","People's Land of Maneau","MFFW","Solemn Cougars",21,"A","2020",6.52756666666667
"1179","Y. Khatun","Coastpa Barleslands","FWMF","Simple Jayhawks",22,"B","2021",6.56073333333333
"349","N. Khalil","Dastatesne","FW","Blue Jaguars",27,"C","2020",6.57803333333333
"290","Y. Manjate","Byasier Pujan","FWMF","Unaccountable Foxes",25,"B","2020",6.60746666666667
"102","I. Nyamande","Republic of Denand Landsa","FWMF","Solemn Cougars",22,"A","2020",6.6146
"286","F. Got?","Central Namemo Laand","FW","Unaccountable Foxes",26,"B","2020",6.6164
"1681","G. Ochwo","Lefghau","MFFW","Festive Governors",28,"E","2021",6.64316666666666
"372","W. Ainomugisha","Thaijagypt","FWMF","Horrible Flames",21,"C","2020",6.6539
"376","U. Nhantumbo","Dosqaly","FW","Little Lollipops",26,"C","2020",6.68576666666667
