"","Player","Nation","Pos","Squad","Age","League","Year","MidsPred"
"1222","T. Nakirijja","Nganion","MF","Marvelous Coyotes",23,"RFL","2020",5.6202
"614","G. Nisha","Esia","MFDF","Ultimate Dolphins",24,"C","2020",5.87846666666667
"932","M. Opoku","Lefghau","MF","Festive Governors",22,"E","2020",5.88836666666666
"613","I. Aidoo","Nganion","MF","Ultimate Dolphins",28,"C","2020",5.9251
"1417","K. Opio","Esia","MFFW","Flawless Cows",26,"B","2021",5.9671
"1286","J. Rukundo","Dosqaly","MFFW","Green Fleet",27,"A","2021",6.2923
"2362","V. Handayani","Nganion","MF","Running Bigfoots",26,"E","2021",6.31176666666667
"1415","I. Marie","Sobianitedrucy","MF","Flawless Cows",27,"B","2021",6.33103333333334
"556","R. Amadu","Esia","MFDF","Serious Cyclones",23,"C","2020",6.34136666666666
"2486","B. Sugawara","Greri Landmoslands","MFFW","Marvelous Coyotes",25,"RFL","2021",6.3488
"91","M. Carpentier","Lefghau","MF","Old Mustangs",25,"A","2020",6.36146666666667
"2310","G. Namuganza","Rarita","MF","Plane Janes",31,"E","2021",6.37653333333333
"653","C. Fuentes","Saintu","MF","White Firebirds",28,"C","2020",6.383
"1320","Q. Johnsen","People's Land of Maneau","MF","Old Mustangs",19,"A","2021",6.3905
"2206","H. Gaillard","Byasier Pujan","MFDF","Festive Governors",23,"E","2021",6.39613333333333
"746","J. Leroux","Biarizea","MF","Marvelous Patriots",27,"D","2020",6.45506666666667
"1861","G. Nisha","Esia","MF","Ultimate Dolphins",25,"C","2021",6.48313333333334
"933","Y. Mukisa","Manlisgamncent","MF","Festive Governors",31,"E","2020",6.5518
"197","F. Yunusa","Rarita","MFDF","Flawless Cows",25,"B","2020",6.55966666666667
"1413","P. Susanto","Lefghau","MF","Flawless Cows",27,"B","2021",6.59756666666667
"37","J. Rukundo","Dosqaly","MF","Green Fleet",26,"A","2020",6.60683333333333
"692","C. Muhammadu","Nganion","MF","Fighting Clippers",23,"D","2020",6.63833333333333
"936","Z. Gholami","Nganion","MF","Festive Governors",31,"E","2020",6.65583333333333
"1852","V. Inoue","Giumle Lizeibon","DFMF","Ultimate Dolphins",28,"C","2021",6.6733
"559","B. Nakiyemba","Esia","MFFW","Serious Cyclones",23,"C","2020",6.68083333333333
"1583","K. Gao","Greri Landmoslands","MF","Somber Stallions",25,"B","2021",6.69016666666666
"2204","Z. Gholami","Nganion","MF","Festive Governors",32,"E","2021",6.69123333333333
"2276","Y. Nagudi","Esia","MF","Mad Kingsmen",30,"E","2021",6.7155
"927","I. Hsieh","Nganion","DFMF","Festive Governors",27,"E","2020",6.74296666666667
"553","L. Adri","Esia","MF","Serious Cyclones",23,"C","2020",6.75103333333334
"1374","G. Magnusson","Dosqaly","MF","Stacked Rocks",23,"A","2021",6.7574
"2481","J. Singini","People's Land of Maneau","FWMF","Marvelous Coyotes",20,"RFL","2021",6.75826666666666
"1313","K. Abalo","Quewenia","MFDF","Mighty Jays",27,"A","2021",6.77506666666667
"403","N. Kigongo","Dosqaly","MF","Villainous Eagles",22,"B","2020",6.78886666666666
"1414","O. Musonza","Nganion","MF","Flawless Cows",30,"B","2021",6.80156666666667
"1412","E. Sommer","Imaar Vircoand","MF","Flawless Cows",26,"B","2021",6.82663333333333
"1416","Z. Musenero","Greri Landmoslands","MFDF","Flawless Cows",28,"B","2021",6.84023333333333
"984","N. Utami","Southern Ristan","FWMF","Mad Kingsmen",28,"E","2020",6.84326666666667
"1648","N. Kigongo","Dosqaly","MF","Villainous Eagles",23,"B","2021",6.85013333333333
"1295","O. Nampeera","People's Land of Maneau","MFFW","Horrible Grizzlies",21,"A","2021",6.85176666666667
"1220","A. Kuhn","Esia","MF","Marvelous Coyotes",28,"RFL","2020",6.856
"880","Z. Griffiths","Manlisgamncent","MF","Sugar Bengals",26,"D","2020",6.92896666666667
"1062","S. Mäkelä","Imaar Vircoand","MF","Running Bigfoots",31,"E","2020",6.92973333333333
"2322","J. Khoh","Nganion","MFDF","Polar Kangaroos",25,"E","2021",6.94653333333333
"90","V. Mattila","Iverde","MF","Old Mustangs",24,"A","2020",6.95113333333333
"1797","B. Nakiyemba","Esia","FWMF","Serious Cyclones",24,"C","2021",6.97833333333334
